contract,status,funded,split_sheet,split_mca,K_sheet,comm_pct_mca_now,feein_sheet,feein_mca_orig,paid_sheet_exJ,paid_pending_share,paid_cleared_share,feeout_sheet,feeout_mca_on_cleared,J_sheet,flag
5674186192,Open,50000.0,0.01,0.01,0.08,0.08,59.99,60.0,210.0,210.0,192.5,8.4,7.7,,PENDING
5674186193,Open,50000.0,0.01,0.01,0.1,0.1,70.01,70.0,222.98,222.97,202.7,8.91,8.11,,PENDING
5674186221,Open,200000.0,0.01,0.01,0.12,0.12,320.0,320.0,1263.11,1263.11,1154.22,50.52,46.17,,PENDING
5674186237,Closed,153000.0,0.01,0.01,0.12,0.12,244.8,244.8,2065.5,2065.5,2065.5,82.62,82.62,,
5674186244,Open,80000.0,0.01,0.01,0.12,0.12,128.0,128.0,329.78,329.78,299.8,13.19,11.99,,PENDING
5674186245,Closed,50000.0,0.01,0.01,0.05,0.02,44.99,45.0,550.0,550.0,550.0,22.0,22.0,45.0,
5674186280,Open,6000.0,0.01,0.01,0.05,0.05,5.4,5.4,42.74,42.75,41.62,1.71,1.67,,PENDING
5674186355,Legal,125000.0,0.01,0.01,0.12,0.0,200.0,200.0,73.4,73.4,73.4,2.93,2.94,150.0,
5674186368,Open,350000.0,0.01,0.01,0.12,0.12,560.0,560.0,3273.54,3273.53,2964.71,130.93,118.59,,PENDING
5674186369,Legal,15000.0,0.01,0.01,0.1,0.0,20.99,21.0,11.4,11.4,11.4,0.46,0.46,15.0,
5674186435,Lowered Payments,51583.0,0.01,0.01,0.1,0.1,72.21,72.21,235.28,235.28,220.28,9.41,8.81,,PENDING
5674186485,Lowered Payments,21000.0,0.01,0.01,0.12,0.12,33.6,33.6,92.46,92.46,83.4,3.7,3.34,,PENDING
5674186529,Open,90000.0,0.01,0.01,0.12,0.12,144.0,144.0,735.0,735.0,660.0,29.41,26.4,,PENDING
5674186535,Lowered Payments,9000.0,0.01,0.01,0.07,0.07,9.9,9.9,49.4,49.4,46.9,1.97,1.88,,PENDING
5674186648,Open,80000.0,0.01,0.01,0.081,0.081,96.81,96.8,255.81,255.82,230.24,10.24,9.21,,PENDING
5674187438,Open,50000.0,0.01,0.01,0.081,0.081,60.51,60.5,127.91,127.91,111.92,5.12,4.48,,PENDING
5674187456,Closed,125000.0,0.01,0.01,0.1,0.1,174.99,175.0,1562.49,1562.5,1562.5,62.5,62.5,,
5674187480,Closed,5000.0,0.01,0.01,0.05,0.05,4.5,4.5,76.0,76.0,76.0,3.05,3.04,,
5674187514,Open,35000.0,0.01,0.01,0.1,0.1,49.0,49.0,239.01,239.01,209.86,9.55,8.39,,PENDING
5674187538,Open,60000.0,0.01,0.01,0.12,0.12,96.01,96.0,387.01,387.0,342.0,15.47,13.68,,PENDING
5674187543,Open,20000.0,0.01,0.01,0.12,0.12,32.0,32.0,299.79,299.8,290.43,11.99,11.62,,PENDING
5674187620,Open,75000.0,0.01,0.01,0.12,0.12,119.99,120.0,306.65,306.66,306.66,12.26,12.27,,
5674187621,Open,75000.0,0.01,0.01,0.12,0.12,119.99,120.0,357.78,357.77,357.77,14.31,14.31,,
5674187631,Closed,10000.0,0.01,0.01,0.05,0.05,8.99,9.0,150.0,150.0,150.0,6.01,6.0,,
5674187659,Open,65000.0,0.01,0.01,0.12,0.12,104.01,104.0,159.25,159.25,139.35,6.37,5.57,,PENDING
